City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,parede,38.6928,-9.3541,16.21,82,40,4.12,PT,1743884857
331,lompoc,34.6391,-120.4579,25.23,35,0,5.66,US,1743884858
332,iquique,-20.2208,-70.1431,21.45,80,100,3.05,CL,1743884638
333,miracema do tocantins,-9.5618,-48.3967,26.26,84,96,1.86,BR,1743884860
334,castillos,-34.1667,-53.8333,15.94,58,0,4.04,UY,1743884862
335,mahanje,-9.9333,35.3333,18.69,97,80,0.79,TZ,1743884863
336,plouzane,48.3833,-4.6167,13.83,76,0,2.57,FR,1743884817
337,mezica,46.5214,14.8544,6.72,67,90,1.28,SI,1743884865
338,saint-juery,43.9488,2.2103,12.56,89,13,1.39,FR,1743884867
339,bereeda,11.8704,51.0579,25.09,84,14,5.72,SO,1743884868
340,klamath falls,42.2249,-121.7817,14.98,34,0,4.63,US,1743884683
341,portland,45.5234,-122.6762,21.47,38,75,2.06,US,1743884696
342,san gabriel,34.0961,-118.1058,26.83,16,0,2.57,US,1743884871
343,nova olinda do norte,-3.8881,-59.0942,27.26,91,100,0.52,BR,1743884872
344,labytnangi,66.6572,66.4183,-9.16,96,100,2.08,RU,1743884874
345,smithers,54.7804,-127.1743,12.18,40,75,2.57,CA,1743884875
346,tolanaro,-25.0319,46.9987,24.14,88,100,5.05,MG,1743884876
347,inza,53.8533,46.3586,6.21,92,100,2.89,RU,1743884642
348,kaspiyskiy,45.3929,47.3707,11.17,76,76,7.1,RU,1743884879
349,iskateley,67.6803,53.1512,-12.43,88,44,3.78,RU,1743884881
350,vylkove,45.4021,29.586,11.46,73,100,4.74,UA,1743884882
351,tofol,5.3248,163.0078,27.53,77,95,8.28,FM,1743884883
352,vilyuysk,63.7553,121.6247,0.63,99,100,4.64,RU,1743884884
353,brookings,44.3114,-96.7984,5.25,44,0,9.77,US,1743884885
354,arvayheer,46.2639,102.775,5.3,18,99,3.49,MN,1743884887
355,mugumu,-1.85,34.7,16.98,97,100,1.86,TZ,1743884888
356,houghton,47.1219,-88.569,1.71,54,20,12.35,US,1743884889
